측정일자,측정시간,지역,지역명,도로명,시작점,종점,기온,습도,재비산먼지 평균농도,오염범례
2021-07-02,10:55,경기,하남시,미사강변동로,,경기도 하남시 풍산동 575,27,,28,매우좋음
2021-07-02,11:03,경기,하남시,덕풍로,,경기도 하남시 덕풍동 756,27,83,17,매우좋음
2021-07-02,11:10,경기,하남시,덕풍북로,,경기도 하남시 풍산동 산 24-3,27,85,48,매우좋음
2021-07-02,11:23,경기,하남시,신평로,,경기도 하남시 신장동 278-13,27,82,118,보통
2021-07-02,11:29,경기,하남시,조정대로,,경기도 하남시 풍산동 495,28,82,64,좋음
2021-07-02,11:36,경기,하남시,하남대로,,경기도 하남시 천현동 471-3,28,78,56,좋음
2021-07-02,11:48,경기,하남시,창우로,,경기도 하남시 창우동 534,29,76,43,매우좋음
2021-07-02,11:53,경기,하남시,대청로,,경기도 하남시 신장동 537,29,74,55,좋음
2021-07-02,12:05,경기,하남시,천현로,,경기도 하남시 신장동 558-2,,69,68,좋음
2021-07-02,12:15,경기,하남시,덕산로,,경기도 하남시 덕풍동 산 64-4,30,70,41,매우좋음
2021-07-02,12:25,경기,하남시,대성로,,경기도 하남시 교산동 223-4,30,70,83,좋음
2021-07-02,13:54,경기,하남시,서하남로,,경기도 하남시 감북동 377-3,32,56,120,보통
2021-07-02,10:40,경기,안성시,남파로,,경기도 안성시 신건지동 150,26,87,27,매우좋음
2021-07-02,10:53,경기,안성시,공단로,,경기도 안성시 신모산동 38,27,84,16,
2021-07-02,11:12,경기,안성시,중앙로,,경기도 안성시 봉산동 92,27,83,18,매우좋음
2021-07-02,11:27,경기,안성시,안성맞춤대로,,,27,80,11,매우좋음
2021-07-02,11:35,경기,안성시,제2공단1길,,경기도 안성시 미양면 구수리 311,27,80,6,매우좋음
2021-07-02,11:42,경기,안성시,서운로,,경기도 안성시 서운면 신능리 228,27,83,26,매우좋음
2021-07-02,11:47,경기,안성시,제4산단로,,경기도 안성시 미양면 양변리 산 9-58,26,86,18,매우좋음
2021-07-02,12:08,경기,안성시,공도로,,경기도 안성시 공도읍 용두리 275-134,29,74,8,매우좋음
2021-07-02,12:14,경기,안성시,,,경기도 안성시 공도읍 만정리 279-29,28,75,7,매우좋음
2021-07-02,13:05,경기,안성시,,,경기도 안성시 원곡면 내가천리 산 55-1,30,62,11,매우좋음
2021-07-02,10:38,경기,용인시 수지구,,,경기도 용인시 수지구 상현동 790-11,26,94,42,매우좋음
2021-07-02,10:56,경기,용인시 수지구,,,경기도 용인시 수지구 신봉동 31-9,26,91,7,매우좋음
2021-07-02,11:11,경기,용인시 수지구,,,경기도 용인시 기흥구 보정동 209-6,27,89,4,매우좋음
2021-07-02,11:18,경기,용인시 기흥구,,,경기도 용인시 기흥구 보정동 산 62,27,86,11,매우좋음
2021-07-02,11:23,경기,용인시 기흥구,,,경기도 용인시 기흥구 마북동 176-15,27,86,6,매우좋음
2021-07-02,11:34,경기,용인시 기흥구,,,경기도 용인시 기흥구 마북동 466-1,27,81,24,매우좋음
2021-07-02,11:49,경기,용인시 기흥구,,,경기도 용인시 기흥구 신갈동 701,27,81,7,매우좋음
2021-07-02,11:52,경기,용인시 기흥구,,,,27,80,12,
2021-07-02,12:02,경기,용인시 기흥구,,,경기도 용인시 기흥구 신갈동 167,29,77,18,매우좋음
2021-07-02,12:09,경기,용인시 기흥구,,,경기도 용인시 기흥구 구갈동 280,29,75,4,매우좋음
2021-07-02,12:18,경기,용인시 기흥구,,,경기도 용인시 기흥구 상갈동 126,29,,42,매우좋음
2021-07-02,12:22,경기,용인시 기흥구,,,경기도 용인시 기흥구 상갈동 492,29,70,5,매우좋음
2021-07-02,,,용인시 기흥구,,,경기도 용인시 기흥구 영덕동 46-13,31,63,18,매우좋음
2021-07-02,13:38,경기,용인시 기흥구,,,경기도 수원시 영통구 하동 1025,32,61,6,매우좋음
2021-07-02,13:49,경기,용인시 기흥구,,,경기도 용인시 기흥구 영덕동 1152,,62,11,매우좋음
2021-07-02,13:52,경기,용인시 기흥구,,,경기도 용인시 기흥구 영덕동 1300,31,60,34,매우좋음
2021-07-02,13:56,경기,용인시 기흥구,,,경기도 용인시 기흥구 상하동 산 65,32,58,25,매우좋음
2021-07-02,14:38,경기,용인시 기흥구,,,경기도 용인시 기흥구 공세동 688,32,58,13,
2021-07-02,14:51,경기,용인시 기흥구,,,경기도 용인시 기흥구 공세동 717,31,61,14,매우좋음
2021-07-05,9:46,경기,파주시,,,경기도 파주시 문산읍 선유리 1381,23,93,64,좋음
2021-07-05,9:50,경기,파주시,,,,23,92,44,매우좋음
2021-07-05,9:52,경기,파주시,,,경기도 파주시 문산읍 선유리 1382,23,92,57,좋음
2021-07-05,9:57,경기,파주시,,,경기도 파주시 파주읍 향양리 709-2,23,93,47,매우좋음
2021-07-05,10:04,경기,파주시,,,경기도 파주시 문산읍 선유리 966-28,23,93,76,좋음
2021-07-05,10:17,경기,파주시,,,경기도 파주시 문산읍 당동리 500-9,23,81,68,좋음
2021-07-05,10:32,경기,파주시,,,경기도 파주시 월롱면 덕은리 772-13,23,79,33,매우좋음
2021-07-05,10:38,경기,파주시,,,경기도 파주시 월롱면 덕은리 산 47-5,24,79,12,매우좋음
2021-07-05,10:47,경기,파주시,,,경기도 파주시 탄현면 금승리 542-1,24,75,56,좋음
2021-07-05,11:39,경기,파주시,,,경기도 파주시 탄현면 성동리 639,24,72,65,좋음
2021-07-05,11:46,경기,파주시,,,경기도 파주시 탄현면 법흥리 1782,24,73,89,좋음
2021-07-05,12:14,경기,파주시,,,경기도 파주시 탄현면 법흥리 1623,25,65,130,보통
2021-07-05,12:17,경기,파주시,,,경기도 파주시 탄현면 법흥리 1650,25,65,31,매우좋음
2021-07-05,12:23,경기,파주시,,,경기도 파주시 탄현면 성동리 692-12,25,64,48,매우좋음
2021-07-05,12:28,경기,파주시,,,경기도 파주시 탄현면 법흥리 1667,24,67,35,매우좋음
2021-07-05,13:04,경기,파주시,,경기도 파주시 탄현면 성동리 639,경기도 파주시 금촌동 962-22,26,62,79,좋음
2021-07-05,10:12,서울,종로구,,서울특별시 중구 태평로1가 1,서울특별시 중구 황학동 758,,94,58,좋음
2021-07-05,10:40,서울,종로구,,서울특별시 종로구 창신동 436-86,서울특별시 종로구 숭인동 5-20,25,91,19,매우좋음
2021-07-05,10:51,서울,종로구,,서울특별시 종로구 숭인동 1311,서울특별시 종로구 종로1가 1-3,26,88,5,매우좋음
2021-07-05,11:08,서울,종로구,,서울특별시 종로구 세종로 1-68,서울특별시 종로구 평동 211,25,90,4,매우좋음
2021-07-05,11:11,서울,종로구,,서울특별시 종로구 평동 215,서울특별시 종로구 무악동 7-48,25,89,2,매우좋음
2021-07-05,11:28,서울,종로구,,서울특별시 종로구 교북동 1-60,,26,86,12,매우좋음
2021-07-05,11:33,서울,종로구,,서울특별시 종로구 중학동 1-1,,28,82,37,매우좋음
2021-07-05,11:48,서울,종로구,,서울특별시 종로구 종로5가 82-1,,27,82,11,
2021-07-05,11:55,서울,종로구,,서울특별시 종로구 혜화동 120,,26,83,12,매우좋음
2021-07-05,12:03,서울,종로구,,서울특별시 종로구 종로2가 27,,27,82,10,매우좋음
2021-07-05,12:13,서울,종로구,,서울특별시 종로구 궁정동 1-2,,26,86,8,매우좋음
2021-07-05,12:24,서울,종로구,,서울특별시 종로구 궁정동 13-23,,26,85,33,매우좋음
2021-07-05,12:28,서울,종로구,,서울특별시 종로구 적선동 106,,27,84,10,매우좋음
2021-07-05,13:32,서울,종로구,,서울특별시 종로구 평창동 2-15,,27,81,11,매우좋음
2021-07-05,13:37,서울,종로구,,서울특별시 종로구 신영동 20-1,,27,81,12,매우좋음
2021-07-05,9:46,경기,시흥시,,경기도 시흥시 과림동 80-17,경기도 시흥시 대야동 691,24,93,196,나쁨
2021-07-05,9:56,경기,시흥시,,경기도 시흥시 대야동 642-261,경기도 시흥시 대야동 629,24,92,48,매우좋음
2021-07-05,10:03,경기,시흥시,,경기도 시흥시 은행동 산 42-3,경기도 시흥시 은행동 596,24,92,29,매우좋음
2021-07-05,10:11,,,,,,,,,
2021-07-05,10:21,경기,시흥시,,,경기도 시흥시 조남동 598-4,25,87,58,좋음
2021-07-05,11:40,경기,시흥시,,경기도 시흥시 목감동 34-2,경기도 시흥시 월곶동 520-217,26,81,10,매우좋음
2021-07-05,12:08,경기,시흥시,,경기도 시흥시 월곶동 1026,경기도 시흥시 월곶동 1023,27,79,125,보통
2021-07-05,12:12,경기,시흥시,,경기도 시흥시 월곶동 1030,,26,82,196,나쁨
2021-07-05,12:31,경기,시흥시,,경기도 시흥시 장곡동 486-10,경기도 시흥시 거모동 1259-1,,83,20,매우좋음
2021-07-05,12:46,경기,시흥시,,경기도 시흥시 거모동 1604-1,경기도 시흥시 거모동 136-2,,81,27,매우좋음
2021-07-05,13:03,경기,시흥시,,경기도 시흥시 장곡동 262-4,경기도 시흥시 장곡동 498-3,,80,34,매우좋음
2021-07-05,13:11,경기,시흥시,,경기도 시흥시 장현동 563-291,경기도 시흥시 장현동 508-17,,78,21,
2021-07-05,13:15,경기,시흥시,,경기도 시흥시 장현동 563-190,경기도 시흥시 군자동 산 44-9,,79,6,매우좋음
2021-07-05,13:35,경기,시흥시,,경기도 시흥시 능곡동 803,경기도 시흥시 능곡동 752,27,,18,매우좋음
2021-07-05,13:41,경기,시흥시,,경기도 시흥시 능곡동 784,경기도 시흥시 능곡동 546,27,81,19,매우좋음
2021-07-05,13:53,경기,시흥시,,경기도 시흥시 광석동 54-10,경기도 시흥시 하중동 724-9,27,82,10,
2021-07-05,13:59,경기,시흥시,,경기도 시흥시 하중동 371-10,경기도 시흥시 하상동 392,27,84,29,매우좋음
2021-07-05,14:07,경기,시흥시,,경기도 시흥시 하중동 630-18,경기도 시흥시 하중동 842,27,83,34,매우좋음
2021-07-05,10:35,경기,용인시 처인구,,경기도 용인시 처인구 포곡읍 전대리 546-93,경기도 용인시 처인구 포곡읍 전대리 102-3,26,87,21,매우좋음
2021-07-05,10:39,경기,용인시 처인구,,경기도 용인시 처인구 포곡읍 삼계리 587-6,경기도 용인시 처인구 포곡읍 둔전리 406-102,25,94,53,좋음
2021-07-05,10:47,경기,용인시 처인구,,경기도 용인시 처인구 유방동 231-2,경기도 용인시 처인구 남동 400-11,25,90,10,
2021-07-05,11:08,경기,용인시 처인구,,경기도 용인시 처인구 마평동 759,경기도 용인시 처인구 김량장동 380,25,89,27,매우좋음
2021-07-05,11:23,경기,용인시 처인구,,경기도 용인시 처인구 역북동 산 105-1,경기도 용인시 처인구 역북동 708-12,25,95,10,매우좋음
2021-07-05,11:28,경기,용인시 처인구,,경기도 용인시 처인구 삼가동 559,경기도 용인시 처인구 마평동 685-7,25,92,46,매우좋음
2021-07-05,11:46,경기,용인시 처인구,,경기도 용인시 처인구 마평동 266-30,경기도 용인시 기흥구 상하동 산 46-107,26,91,52,좋음
2021-07-05,12:06,경기,용인시 처인구,,경기도 용인시 처인구 삼가동 138-7,경기도 용인시 처인구 삼가동 산 23-20,26,91,24,매우좋음
2021-07-05,12:08,경기,용인시 기흥구,,경기도 용인시 기흥구 동백동 668,경기도 용인시 기흥구 중동 797-3,26,92,8,매우좋음
2021-07-05,12:20,경기,용인시 기흥구,,경기도 용인시 기흥구 동백동 669,,26,90,1,매우좋음
